Sl. No.,Client Name,Order type,Start Date,End Date,Order Id,Delivery Id,Product Name,Sub Product Name,Location Name,Internal Key,Resource Name,Invoice No
1,GlaxoSmithKline,Design,2018-05-22,2018-05-22,1505198,78,Design Half Day,IN IT TOGETHER,Office,78#198,Vrinda Misra
2,GlaxoSmithKline,Design,2018-05-22,2018-05-22,1505199,79,Design Half Day,IN IT TOGETHER,Office,79#199,Vrinda Misra
3,Confederation of Indian Industry,Design,2018-05-22,2018-05-22,1705200,80,Design Half Day,Personal Impact,Office,80#200,Priyam Jain
4,GlaxoSmithKline,Design,2018-05-09,2018-05-09,0705196,77,Design Half Day,Leading Performance Through Change,Office,77#196,Vrinda Misra
5,Edelweiss Financial Services Ltd.,Design,2018-05-02,2018-05-02,1909119,74,Design Half Day,Emerging Leaders: Collaboration,Delhi,74#119,Priyam Jain
6,GlaxoSmithKline,Design,2018-04-27,2018-04-27,2404192,75,Design Half Day,Leading Performance Through Change,Office,75#192,Vrinda Misra
7,FIL Research India Private Limited,Design,2018-04-26,2018-04-26,2704195,76,Design Half a day,ACE Team,Delhi NCR,76#195,Bharat Babbar
8,GlaxoSmithKline,Design,2018-04-20,2018-04-20,1304190,73,Design Half Day,IN IT TOGETHER,Office,73#190,Vrinda Misra
9,IT Fosters Testing,Design,2018-04-11,2018-04-11,190899,71,Design Full Day,Campus to Corporate,Office,71#99,
10,Edelweiss Financial Services Ltd.,Design,2018-04-11,2018-04-11,1104188,72,Design Half Day,Disruptive Execution ,New Delhi ,72#188,Bharat Babbar
11,HSBC Operations,Design,2018-04-06,2018-04-06,2103184,68,Design Half a day,JUICE,MLA Office,68#184,
12,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-22,2018-05-23,0404185,1090,Charisma Effect,Impact And Influence,Chennai,1090#185,
13,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-22,2018-05-23,0404185,1091,Workshop Full Day,Impact And Influence,Chennai,1091#185,Anand Mittal
14,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-22,2018-05-23,0404185,1092,Learning Material / Handout & Folders,Impact And Influence,Chennai,1092#185,
15,IDFC Asset Management Company Ltd,Delivery,2018-05-22,2018-05-22,2112157,950,Executive Coaching (90 Mins) in Person (if 3 is done in a day),Session 6,Mumbai,950#157,Vivek Arora
16,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-15,2018-05-16,0404185,1082,Workshop Full Day,Leading the Way,Chennai,1082#185,Anand Mittal
17,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-15,2018-05-16,0404185,1083,Do It Now- How to engage talent ,Leading the Way,Chennai,1083#185,
18,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-15,2018-05-16,0404185,1084,Learning Material / Handout & Folders,Leading the Way,Chennai,1084#185,
19,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-05-15,2018-05-16,0404185,1085,Leading your Team,Leading the Way,Chennai,1085#185,
20,IDFC Asset Management Company Ltd,Delivery,2018-05-11,2018-05-11,2112157,951,Executive Coaching (90 Mins) in Person (if 3 is done in a day),Session 7,Mumbai,951#157,
21,NIIT Technologies Ltd,Delivery,2018-05-11,2018-05-11,1001160,1150,Workshop Full Day,Communicating with Impact,Noida,1150#160,Anand Mittal
22,NIIT Technologies Ltd,Delivery,2018-05-11,2018-05-11,1001160,1151,Certificate,Communicating with Impact,Noida,1151#160,
23,NIIT Technologies Ltd,Delivery,2018-05-11,2018-05-11,1001160,1152,Learning Material / Handout & Folders,Communicating with Impact,Noida,1152#160,
24,JLT India,Delivery,2018-05-09,2018-05-09,0805197,1146,Workshop Full Day,Effective Conversations ,Mumbai ,1146#197,Steeve Gupta
25,JLT India,Delivery,2018-05-09,2018-05-09,0805197,1147,Learning Material / Handout & Folders,Effective Conversations ,Mumbai ,1147#197,
26,JLT India,Delivery,2018-05-09,2018-05-09,0805197,1148,Certificate,Effective Conversations ,Mumbai ,1148#197,
27,Delhivery,Delivery,2018-05-07,2018-05-07,0702170,1131,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 7,Gurgaon,1131#170,Vivek Arora
28,IDFC Asset Management Company Ltd,Delivery,2018-05-03,2018-05-03,2112157,949,Executive Coaching (90 Mins) in Person (if 3 is done in a day),Session 5,Mumbai,949#157,Vivek Arora
29,Schneider Electric India Pvt Ltd,Delivery,2018-05-03,2018-05-03,2504194,1127,Workshop  Half Day Outside Delhi NCR,Personal Impact,Bangalore,1127#194,Steeve Gupta
30,Schneider Electric India Pvt Ltd,Delivery,2018-05-03,2018-05-03,2504194,1128,Learning Material / Handout & Folders,Personal Impact,Bangalore,1128#194,
31,GlaxoSmithKline,Delivery,2018-05-02,2018-05-02,2404192,1118,Workshop Full Day,Leading Performance Through Change,Gurgaon,1118#192,Vrinda Misra
32,GlaxoSmithKline,Delivery,2018-05-02,2018-05-02,2404192,1120,Learning Material / Handout & Folders,Leading Performance Through Change,Gurgaon,1120#192,
33,FIL Research India Private Limited,Delivery,2018-04-30,2018-04-30,2704195,1129,Workshop  Half Day Within Delhi NCR,ACE Team,Delhi,1129#195,Bharat Babbar
34,FIL Research India Private Limited,Delivery,2018-04-30,2018-04-30,2704195,1130,Learning Material / Handout & Folders,ACE Team,Delhi,1130#195,
35,Delhivery,Delivery,2018-04-27,2018-04-27,0702170,1109,Executive Coaching (90 Mins) in Person (if 1 is done in a day),Session 6,Gurgaon,1109#170,Vivek Arora
36,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1072,Leading your Team,Leading the Way,Pune,1072#185,
37,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1073,Learning Material / Handout & Folders,Leading the Way,Pune,1073#185,
38,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1074,Do It Now- How to engage talent ,Leading the Way,Pune,1074#185,
39,Cognizant Technology Solutions India Pvt Ltd,Delivery,2018-04-26,2018-04-27,0404185,1075,Workshop Full Day,Leading the Way,Pune,1075#185,
40,GlaxoSmithKline,Delivery,2018-04-26,2018-04-26,1304190,1105,Workshop  Half Day Outside Delhi NCR,IN IT TOGETHER,Nainital,1105#190,Steeve Gupta
41,GlaxoSmithKline,Delivery,2018-04-26,2018-04-26,1304190,1106,Learning Material / Handout & Folders,IN IT TOGETHER,Nainital,1106#190,
42,JSW Steel Limited,Delivery,2018-04-24,2018-04-25,0301159,1079,Learning Material / Handout & Folders,Leadership Impact,Tarapur  Maharashtra,1079#159,
